outcome,case_type_encoded,year,court,jurisdiction,tags,text
fair use found,0,1963,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2003,Supreme Court of the United States,U.S. Supreme Court,"drawing, education, film, graphic, internet, music, news reporting, parody, photograph, research, scholarship, textual",
fair use not found,0,2003,Supreme Court of the United States,U.S. Supreme Court,", drawing, education, film, graphic, internet, music, news reporting, parody, photograph, research, scholarship, textual",
pending,1,2012,Supreme Court of the United States,U.S. Supreme Court,"music, research",
copyright infringement not found,1,1991,Supreme Court of the United States,U.S. Supreme Court,"graphic, music, research, unpublished",
copyright infringement not found,1,1998,Supreme Court of the United States,U.S. Supreme Court,unpublished,
copyright infringement not found,1,1989,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,1999,Supreme Court of the United States,U.S. Supreme Court,commentary,
copyright infringement not found,1,1994,Supreme Court of the United States,U.S. Supreme Court,music,
fair use found,0,1976,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2019,Supreme Court of the United States,U.S. Supreme Court, textual,
copyright infringement found,1,2019,Supreme Court of the United States,U.S. Supreme Court,"music, unpublished",
copyright infringement not found,1,1996,Supreme Court of the United States,U.S. Supreme Court,"education, graphic, photograph",
copyright infringement found,1,2011,Supreme Court of the United States,U.S. Supreme Court,film,
copyright infringement found,1,2012,Supreme Court of the United States,U.S. Supreme Court,"digitization, drawing, education, film, graphic, internet, music, news reporting, parody, photograph, research, scholarship, unpublished",
fair use not found,0,2012,Supreme Court of the United States,U.S. Supreme Court,", digitization, film, graphic, music, news reporting, parody, photograph, research, scholarship, unpublished",
copyright infringement found,1,1973,Supreme Court of the United States,U.S. Supreme Court,"graphic, music, unpublished",
fair use found,0,1991,Supreme Court of the United States,U.S. Supreme Court,", textual",
copyright infringement not found,1,1972,Supreme Court of the United States,U.S. Supreme Court,research,
fair use found,0,1987,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,1985,Supreme Court of the United States,U.S. Supreme Court,"commentary, education, film, graphic, music, news reporting, photograph, research, scholarship, unpublished",
fair use found,0,1985,Supreme Court of the United States,U.S. Supreme Court,", commentary, education, film, graphic, music, news reporting, photograph, research, scholarship, unpublished",
fair use not found,0,1937,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2000,Supreme Court of the United States,U.S. Supreme Court,"drawing, education, music",
copyright infringement not found,1,2002,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2019,Supreme Court of the United States,U.S. Supreme Court,drawing,
pending,0,1905,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"commentary, film",
copyright infringement not found,1,2001,Supreme Court of the United States,U.S. Supreme Court,"graphic, research",
copyright infringement found,1,1988,Supreme Court of the United States,U.S. Supreme Court, sculpture,
pending,0,2004,Supreme Court of the United States,U.S. Supreme Court,", graphic, textual",
pending,0,2005,Supreme Court of the United States,U.S. Supreme Court,", research",
fair use not found,0,1973,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,1974,Supreme Court of the United States,U.S. Supreme Court,"drawing, research",
pending,0,1949,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2013,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, drawing, education, film, graphic, internet, music, research, scholarship, textual",
pending,0,2013,Supreme Court of the United States,U.S. Supreme Court,", audiovisual, drawing, education, film, graphic, internet, music, research, scholarship, textual",
copyright infringement found,1,2016,Supreme Court of the United States,U.S. Supreme Court,music,
copyright infringement not found,1,2017,Supreme Court of the United States,U.S. Supreme Court,research,
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"education, research",
copyright infringement not found,1,1995,Supreme Court of the United States,U.S. Supreme Court,"education, research",
copyright infringement found,1,2014,Supreme Court of the United States,U.S. Supreme Court,graphic,
pending,1,2020,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2017,Supreme Court of the United States,U.S. Supreme Court,"drawing, graphic, internet, textual",
copyright infringement found,1,2008,Supreme Court of the United States,U.S. Supreme Court,"education, film, scholarship, textual",
pending,1,2005,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, internet, music",
fair use found,0,2005,Supreme Court of the United States,U.S. Supreme Court,", drawing, film, internet, music",
pending,1,2010,Supreme Court of the United States,U.S. Supreme Court, textual,
copyright infringement not found,1,1985,Supreme Court of the United States,U.S. Supreme Court,"commentary, film, music",
copyright infringement not found,1,2019,Supreme Court of the United States,U.S. Supreme Court,,
pending,0,2003,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,1992,Supreme Court of the United States,U.S. Supreme Court,textual,
copyright infringement found,1,2001,Supreme Court of the United States,U.S. Supreme Court,"commentary, computer program, film, graphic, music, photograph, research",
fair use not found,0,2001,Supreme Court of the United States,U.S. Supreme Court,", commentary, computer program, film, graphic, music, photograph",
pending,1,1993,Supreme Court of the United States,U.S. Supreme Court,,
fair use not found,0,1899,Supreme Court of the United States,U.S. Supreme Court,", graphic",
copyright infringement found,1,1986,Supreme Court of the United States,U.S. Supreme Court,education,
pending,0,2020,Supreme Court of the United States,U.S. Supreme Court,", film, internet",
copyright infringement found,1,1990,Supreme Court of the United States,U.S. Supreme Court,textual,
pending,1,2014,Supreme Court of the United States,U.S. Supreme Court,"film, music",
copyright infringement found,1,1993,Supreme Court of the United States,U.S. Supreme Court,audiovisual,
fair use not found,0,1962,Supreme Court of the United States,U.S. Supreme Court,", education",
copyright infringement found,1,1998,Supreme Court of the United States,U.S. Supreme Court,"graphic, research, textual",
fair use not found,0,1998,Supreme Court of the United States,U.S. Supreme Court,", graphic, research, textual",
copyright infringement not found,1,2010,Supreme Court of the United States,U.S. Supreme Court,film,
fair use found,0,1972,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2019,Supreme Court of the United States,U.S. Supreme Court,"education, film",
copyright infringement found,1,2017,Supreme Court of the United States,U.S. Supreme Court,"commentary, film",
pending,1,2016,Supreme Court of the United States,U.S. Supreme Court,internet,
copyright infringement found,1,1992,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,1996,Supreme Court of the United States,U.S. Supreme Court,"commentary, drawing",
pending,1,1974,Supreme Court of the United States,U.S. Supreme Court,"education, music, photograph",
pending,1,1984,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, education, film, music, news reporting, research, scholarship",
pending,0,1984,Supreme Court of the United States,U.S. Supreme Court,", audiovisual, education, film, music, news reporting, research, scholarship",
pending,1,1974,Supreme Court of the United States,U.S. Supreme Court,"education, painting",
copyright infringement not found,1,2017,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, graphic, music, painting, photograph, sculpture",
copyright infringement not found,1,1990,Supreme Court of the United States,U.S. Supreme Court,"education, film, music, news reporting, research, scholarship",
fair use found,0,1990,Supreme Court of the United States,U.S. Supreme Court,", education, film, music, news reporting, research, scholarship",
pending,0,1931,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,1974,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, graphic, music",
pending,1,2001,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,1975,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, graphic, music",
pending,1,1987,Supreme Court of the United States,U.S. Supreme Court,textual,
pending,1,1977,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,1971,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,1987,Supreme Court of the United States,U.S. Supreme Court,textual,
copyright infringement found,1,1973,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,1972,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2013,Supreme Court of the United States,U.S. Supreme Court,"education, internet",
pending,1,2000,Supreme Court of the United States,U.S. Supreme Court,"film, graphic, painting, photograph",
fair use not found,0,1948,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,1977,Supreme Court of the United States,U.S. Supreme Court,"commentary, film",
copyright infringement not found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"film, internet, music, research",
copyright infringement found,1,2019,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2019,Supreme Court of the United States,U.S. Supreme Court,"film, research",
copyright infringement not found,1,2018,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, drawing, internet, photograph, textual, unpublished",
copyright infringement not found,1,2018,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, internet",
copyright infringement not found,1,2018,Supreme Court of the United States,U.S. Supreme Court,"drawing, graphic, music, painting, photograph",
copyright infringement not found,1,2003,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2003,Supreme Court of the United States,U.S. Supreme Court,graphic,
copyright infringement found,1,2009,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2003,Supreme Court of the United States,U.S. Supreme Court,"drawing, music",
copyright infringement not found,1,2003,Supreme Court of the United States,U.S. Supreme Court,music,
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,graphic,
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,graphic,
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,graphic,
copyright infringement found,1,2003,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2004,Supreme Court of the United States,U.S. Supreme Court,"education, research, textual",
pending,1,2004,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2004,Supreme Court of the United States,U.S. Supreme Court,research,
copyright infringement not found,1,2004,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2004,Supreme Court of the United States,U.S. Supreme Court,drawing,
copyright infringement not found,1,2004,Supreme Court of the United States,U.S. Supreme Court,"drawing, education, research, scholarship, textual",
copyright infringement not found,1,2004,Supreme Court of the United States,U.S. Supreme Court,computer program,
copyright infringement found,1,2004,Supreme Court of the United States,U.S. Supreme Court,"music, research",
copyright infringement not found,1,2004,Supreme Court of the United States,U.S. Supreme Court,"commentary, drawing, education, graphic, photograph",
copyright infringement not found,1,2005,Supreme Court of the United States,U.S. Supreme Court,"graphic, research",
pending,1,2005,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2005,Supreme Court of the United States,U.S. Supreme Court,"commentary, education, music, news reporting, parody, research, satire, scholarship, unpublished",
pending,1,2005,Supreme Court of the United States,U.S. Supreme Court,"commentary, education, music, news reporting, parody, research, satire, scholarship, unpublished",
copyright infringement not found,1,2005,Supreme Court of the United States,U.S. Supreme Court,music,
copyright infringement found,1,2005,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,parody,
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,education,
pending,1,2006,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, computer program, music, photograph, sculpture",
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"music, textual",
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"film, photograph",
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"education, film",
copyright infringement not found,1,2006,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2006,Supreme Court of the United States,U.S. Supreme Court,"film, graphic, music",
copyright infringement not found,1,2006,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"commentary, textual",
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, commentary, film, music, unpublished",
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, commentary, film, music, unpublished",
copyright infringement not found,1,2007,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2007,Supreme Court of the United States,U.S. Supreme Court,"drawing, education, film, graphic, internet, music, news reporting, parody, photograph, research, scholarship, textual",
copyright infringement found,1,2007,Supreme Court of the United States,U.S. Supreme Court,"drawing, education, film, graphic, internet, music, news reporting, parody, photograph, research, scholarship, textual",
pending,1,2007,Supreme Court of the United States,U.S. Supreme Court,"music, research",
copyright infringement not found,1,2007,Supreme Court of the United States,U.S. Supreme Court,"graphic, music, research, unpublished",
copyright infringement not found,1,2007,Supreme Court of the United States,U.S. Supreme Court,unpublished,
copyright infringement not found,1,2007,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2007,Supreme Court of the United States,U.S. Supreme Court,commentary,
copyright infringement not found,1,2008,Supreme Court of the United States,U.S. Supreme Court,music,
copyright infringement not found,1,2008,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2008,Supreme Court of the United States,U.S. Supreme Court, textual,
copyright infringement found,1,2008,Supreme Court of the United States,U.S. Supreme Court,"music, unpublished",
copyright infringement not found,1,2008,Supreme Court of the United States,U.S. Supreme Court,"education, graphic, photograph",
copyright infringement found,1,2009,Supreme Court of the United States,U.S. Supreme Court,film,
copyright infringement found,1,2009,Supreme Court of the United States,U.S. Supreme Court,"digitization, drawing, education, film, graphic, internet, music, news reporting, parody, photograph, research, scholarship, unpublished",
copyright infringement found,1,2009,Supreme Court of the United States,U.S. Supreme Court,"digitization, film, graphic, music, news reporting, parody, photograph, research, scholarship, unpublished",
copyright infringement found,1,2009,Supreme Court of the United States,U.S. Supreme Court,"graphic, music, unpublished",
copyright infringement not found,1,2009,Supreme Court of the United States,U.S. Supreme Court,textual,
copyright infringement not found,1,2009,Supreme Court of the United States,U.S. Supreme Court,research,
copyright infringement not found,1,2010,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2012,Supreme Court of the United States,U.S. Supreme Court,"commentary, education, film, graphic, music, news reporting, photograph, research, scholarship, unpublished",
copyright infringement not found,1,2012,Supreme Court of the United States,U.S. Supreme Court,"commentary, education, film, graphic, music, news reporting, photograph, research, scholarship, unpublished",
copyright infringement found,1,2013,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2014,Supreme Court of the United States,U.S. Supreme Court,"drawing, education, music",
copyright infringement not found,1,2014,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2014,Supreme Court of the United States,U.S. Supreme Court,drawing,
pending,1,2014,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2015,Supreme Court of the United States,U.S. Supreme Court,"commentary, film",
copyright infringement not found,1,2003,Supreme Court of the United States,U.S. Supreme Court,"graphic, research",
copyright infringement found,1,2003,Supreme Court of the United States,U.S. Supreme Court, sculpture,
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,"graphic, textual",
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,research,
copyright infringement found,1,2003,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2004,Supreme Court of the United States,U.S. Supreme Court,"drawing, research",
pending,1,2004,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2004,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, drawing, education, film, graphic, internet, music, research, scholarship, textual",
pending,1,2004,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, drawing, education, film, graphic, internet, music, research, scholarship, textual",
copyright infringement found,1,2004,Supreme Court of the United States,U.S. Supreme Court,music,
copyright infringement not found,1,2004,Supreme Court of the United States,U.S. Supreme Court,research,
copyright infringement found,1,2004,Supreme Court of the United States,U.S. Supreme Court,"education, research",
copyright infringement not found,1,2005,Supreme Court of the United States,U.S. Supreme Court,"education, research",
copyright infringement found,1,2005,Supreme Court of the United States,U.S. Supreme Court,graphic,
pending,1,2005,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2006,Supreme Court of the United States,U.S. Supreme Court,"drawing, graphic, internet, textual",
copyright infringement found,1,2007,Supreme Court of the United States,U.S. Supreme Court,"education, film, scholarship, textual",
pending,1,2007,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, internet, music",
copyright infringement not found,1,2007,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, internet, music",
pending,1,2007,Supreme Court of the United States,U.S. Supreme Court, textual,
copyright infringement not found,1,2007,Supreme Court of the United States,U.S. Supreme Court,"commentary, film, music",
copyright infringement not found,1,2008,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2008,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2009,Supreme Court of the United States,U.S. Supreme Court,textual,
copyright infringement found,1,2009,Supreme Court of the United States,U.S. Supreme Court,"commentary, computer program, film, graphic, music, photograph, research",
copyright infringement found,1,2009,Supreme Court of the United States,U.S. Supreme Court,"commentary, computer program, film, graphic, music, photograph",
pending,1,2010,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2010,Supreme Court of the United States,U.S. Supreme Court,graphic,
copyright infringement found,1,2010,Supreme Court of the United States,U.S. Supreme Court,education,
pending,1,2010,Supreme Court of the United States,U.S. Supreme Court,"film, internet",
copyright infringement found,1,2010,Supreme Court of the United States,U.S. Supreme Court,textual,
pending,1,2010,Supreme Court of the United States,U.S. Supreme Court,"film, music",
copyright infringement found,1,2011,Supreme Court of the United States,U.S. Supreme Court,audiovisual,
copyright infringement found,1,2011,Supreme Court of the United States,U.S. Supreme Court,education,
copyright infringement found,1,2011,Supreme Court of the United States,U.S. Supreme Court,"graphic, research, textual",
copyright infringement found,1,2011,Supreme Court of the United States,U.S. Supreme Court,"graphic, research, textual",
copyright infringement not found,1,2011,Supreme Court of the United States,U.S. Supreme Court,film,
copyright infringement not found,1,2011,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2011,Supreme Court of the United States,U.S. Supreme Court,"education, film",
copyright infringement found,1,2011,Supreme Court of the United States,U.S. Supreme Court,"commentary, film",
pending,1,2011,Supreme Court of the United States,U.S. Supreme Court,internet,
copyright infringement found,1,2011,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2011,Supreme Court of the United States,U.S. Supreme Court,"commentary, drawing",
pending,1,2012,Supreme Court of the United States,U.S. Supreme Court,"education, music, photograph",
pending,1,2012,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, education, film, music, news reporting, research, scholarship",
pending,1,2012,Supreme Court of the United States,U.S. Supreme Court,"audiovisual, education, film, music, news reporting, research, scholarship",
pending,1,2012,Supreme Court of the United States,U.S. Supreme Court,"education, painting",
copyright infringement not found,1,2012,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, graphic, music, painting, photograph, sculpture",
copyright infringement not found,1,2012,Supreme Court of the United States,U.S. Supreme Court,"education, film, music, news reporting, research, scholarship",
copyright infringement not found,1,2012,Supreme Court of the United States,U.S. Supreme Court,"education, film, music, news reporting, research, scholarship",
pending,1,2013,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2013,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, graphic, music",
pending,1,2013,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2013,Supreme Court of the United States,U.S. Supreme Court,"drawing, film, graphic, music",
pending,1,2013,Supreme Court of the United States,U.S. Supreme Court,textual,
pending,1,2013,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2014,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement not found,1,2014,Supreme Court of the United States,U.S. Supreme Court,textual,
copyright infringement found,1,2014,Supreme Court of the United States,U.S. Supreme Court,,
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2003,Supreme Court of the United States,U.S. Supreme Court,"education, internet",
pending,1,2003,Supreme Court of the United States,U.S. Supreme Court,"film, graphic, painting, photograph",
copyright infringement found,1,2003,Supreme Court of the United States,U.S. Supreme Court,,
copyright infringement found,1,2004,Supreme Court of the United States,U.S. Supreme Court,"commentary, film",
copyright infringement not found,1,2005,Supreme Court of the United States,U.S. Supreme Court,"film, internet, music, research",
